experiment,gamma,delta,watermarked_mean_zscores,watermarked_mean_ppls,mean_zscores,mean_ppl
beam4-opt1.3b,0.5,0,-0.40374,5.76635,-0.40374,5.76635
beam1-opt1.3b,0.5,0,-0.592692,6.03555,-0.592692,6.03555
beam4-opt1.3b,0.5,0.1,-0.059688,5.87087,-0.379813,5.8428
beam1-opt1.3b,0.5,0.1,0.0810485,6.1197,-0.459244,6.1113
beam1-opt1.3b,0.5,0.5,2.10362,6.07128,-0.596954,5.97916
beam4-opt1.3b,0.5,0.5,1.46664,5.87647,-0.486704,5.85367
beam4-opt1.3b,0.5,1,3.79718,5.85528,-0.359194,5.65118
beam1-opt1.3b,0.5,1,4.51151,6.0297,-0.617212,5.89103
beam1-opt1.3b,0.5,10,14.0305,6.92534,-0.734505,5.98791
beam4-opt1.3b,0.5,10,14.026,6.99665,-0.471545,5.60268
beam4-opt1.3b,0.5,2,7.86167,6.38916,-0.500633,5.85275
beam1-opt1.3b,0.5,2,8.08109,6.20051,-0.673977,5.83666
beam1-opt1.3b,0.5,5,12.2645,6.67258,-0.73641,5.927
beam4-opt1.3b,0.5,5,12.2789,6.99214,-0.343782,5.87033
