experiment,gamma,delta,watermarked_mean_zscores,watermarked_mean_ppls,mean_zscores,mean_ppl
multinomial-opt1.3b,0.1,0,-0.279011,10.9347,-0.302918,11.0575
multinomial-opt1.3b,0.25,0,-0.379702,11.0294,-0.307432,11.0013
multinomial-opt1.3b,0.5,0,-0.274613,10.9589,-0.237106,11.1678
multinomial-opt1.3b,0.75,0,-0.743494,11.361,-0.783944,11.4553
multinomial-opt1.3b,0.9,0,0.0418793,11.1422,0.115309,11.0782
multinomial-opt1.3b,0.1,1,3.2238,11.2554,-0.2616,11.0799
multinomial-opt1.3b,0.25,1,4.28326,11.6048,-0.327196,11.1508
multinomial-opt1.3b,0.5,1,4.26979,11.4886,-0.171864,11.0581
multinomial-opt1.3b,0.75,1,2.65452,11.3908,-0.709483,11.1116
multinomial-opt1.3b,0.9,1,2.28688,11.1787,0.196619,11.0293
multinomial-opt1.3b,0.1,10,41.1956,30.7579,-0.265109,11.1055
multinomial-opt1.3b,0.25,10,24.249,26.0165,-0.290228,11.0489
multinomial-opt1.3b,0.5,10,14.0809,18.15,-0.289712,11.2727
multinomial-opt1.3b,0.75,10,8.16179,14.747,-0.697938,11.326
multinomial-opt1.3b,0.9,10,4.70746,12.2671,0.16321,11.1275
multinomial-opt1.3b,0.1,2,8.93084,12.257,-0.255301,11.0374
multinomial-opt1.3b,0.25,2,9.76754,12.922,-0.304391,11.1706
multinomial-opt1.3b,0.5,2,7.7262,12.362,-0.139649,11.1033
multinomial-opt1.3b,0.75,2,4.63835,12.1438,-0.807402,11.242
multinomial-opt1.3b,0.9,2,3.27398,11.176,0.215599,10.9958
multinomial-opt1.3b,0.1,5,31.0671,23.8216,-0.322754,11.0619
multinomial-opt1.3b,0.25,5,20.8845,20.8357,-0.352988,11.2528
multinomial-opt1.3b,0.5,5,12.5689,16.1261,-0.284844,11.2448
multinomial-opt1.3b,0.75,5,7.30611,13.9085,-0.691866,11.5593
multinomial-opt1.3b,0.9,5,4.32839,11.7175,0.2391,10.969
