experiment,gamma,delta,watermarked_mean_zscores,watermarked_mean_ppls,mean_zscores,mean_ppl
beam8-opt125m,0.5,0,-0.13246,7.14837,-0.13246,7.14837
beam4-opt125m,0.5,0,-0.493748,7.59011,-0.493748,7.59011
beam1-opt125m,0.5,0,-0.584303,7.77147,-0.584303,7.77147
beam4-opt125m,0.5,0.1,-0.208989,7.33918,-0.432836,7.37399
beam8-opt125m,0.5,0.1,0.0181112,7.00085,-0.183292,6.99759
beam1-opt125m,0.5,0.1,-0.140439,7.40238,-0.642384,7.39152
beam1-opt125m,0.5,0.5,2.29294,7.74751,-0.539825,7.65638
beam4-opt125m,0.5,0.5,1.39115,7.53608,-0.356704,7.55191
beam8-opt125m,0.5,0.5,0.927356,7.14776,-0.39471,7.1359
beam8-opt125m,0.5,1,3.24122,7.55707,-0.375354,7.34862
beam4-opt125m,0.5,1,3.40603,7.76497,-0.548277,7.59318
beam1-opt125m,0.5,1,4.84643,8.01267,-0.587345,7.80371
beam1-opt125m,0.5,10,14.0331,8.41514,-0.623188,7.66706
beam8-opt125m,0.5,10,14.103,8.44232,-0.440643,7.26688
beam4-opt125m,0.5,10,13.9983,8.53513,-0.312005,7.41347
beam4-opt125m,0.5,2,8.06972,8.08509,-0.270015,7.52228
beam1-opt125m,0.5,2,8.75193,7.78335,-0.498848,7.41024
beam8-opt125m,0.5,2,7.7491,7.77541,-0.158974,7.1885
beam1-opt125m,0.5,5,12.8267,8.15285,-0.334809,7.56488
beam4-opt125m,0.5,5,12.8168,8.14901,-0.769946,7.17566
beam8-opt125m,0.5,5,12.7194,8.26361,-0.565369,7.04591
