experiment,gamma,delta,watermarked_mean_zscores,watermarked_mean_ppls,mean_zscores,mean_ppl
multinomial-opt125m,10,0,-0.338769,15.896,-0.37292,15.847
multinomial-opt125m,25,0,-0.294441,16.0084,-0.30079,16.0823
multinomial-opt125m,50,0,-0.250291,15.9512,-0.262483,15.9936
multinomial-opt125m,75,0,-0.821318,16.3014,-0.70315,16.0246
multinomial-opt125m,90,0,0.232468,16.084,0.223227,16.0063
multinomial-opt125m,10,1,4.00297,16.5223,-0.279797,16.256
multinomial-opt125m,25,1,4.88491,16.7656,-0.356248,16.0157
multinomial-opt125m,50,1,4.75152,16.7616,-0.329573,15.9758
multinomial-opt125m,75,1,2.99214,16.7082,-0.751414,16.4377
multinomial-opt125m,90,1,2.46459,16.2399,0.204925,16.0928
multinomial-opt125m,10,10,41.4002,42.9662,-0.289914,16.1456
multinomial-opt125m,25,10,24.2925,34.4355,-0.274847,15.9209
multinomial-opt125m,50,10,14.0247,25.5712,-0.270183,16.2668
multinomial-opt125m,75,10,8.17216,20.7926,-0.761856,16.261
multinomial-opt125m,90,10,4.72853,17.5509,0.176624,16.3065
multinomial-opt125m,10,2,10.393,18.4531,-0.243867,16.3007
multinomial-opt125m,25,2,10.9825,19.4281,-0.414029,16.3609
multinomial-opt125m,50,2,8.51693,18.9527,-0.256095,16.5665
multinomial-opt125m,75,2,5.19647,17.6208,-0.763377,16.1877
multinomial-opt125m,90,2,3.49566,16.5,0.170293,16.2614
multinomial-opt125m,10,5,33.6974,31.6057,-0.281069,15.9713
multinomial-opt125m,25,5,21.6848,29.4934,-0.291972,16.4977
multinomial-opt125m,50,5,13.0033,22.9455,-0.222503,16.2178
multinomial-opt125m,75,5,7.49935,19.8442,-0.709796,16.5561
multinomial-opt125m,90,5,4.44502,17.4215,0.205073,16.6732
